,Broadband,Cells,Servers,Exports,country
121,0.065293218,39.62525129,25.7736387223148,NA,Kiribati
122,28.90956726,138.906857,2927.0936850664,6830730,St. Kitts & Nevis
123,41.57512428,124.8645076,1196.51341664018,72699710197,South Korea
124,3.940841208,172.5803137,474.794320260856,184691159,Kuwait
126,0.396855716,54.12257807,16.6225343240753,NA,Laos
127,NA,72.32533375,133.665287979643,38873149,Lebanon
128,0.190198199,56.21413443,1.9019819920345,NA,Liberia
129,4.98853578,94.43706099,968.528927860125,NA,Libya
130,17.77023551,98.79783498,195.701281563821,2802779,St. Lucia
134,42.85902642,122.3616898,23838.4051474078,NA,Liechtenstein
135,5.846188879,135.0730235,305.213579556053,69005957,Sri Lanka
138,0.215865124,70.90446188,18.8059224327341,1166622,Lesotho
140,27.63622562,150.8955308,13058.2523070439,2160520241,Lithuania
141,36.78089998,136.0859021,43014.3409084811,739535354,Luxembourg
142,26.99031118,126.3866193,11948.0107586673,1339781881,Latvia
143,29.87630247,328.7999525,1779.72812564752,NA,Macau SAR China
144,NA,NA,280.155642023346,NA,Saint Martin (French part)
145,3.858095143,122.8779577,283.019554230912,651186168,Morocco
146,49.76870397,85.22548133,9639.48830598269,NA,Monaco
147,14.42358484,90.41659632,2837.54405223042,28666567,Moldova
148,0.098009866,34.14232861,4.92747711802813,4754271,Madagascar
149,8.37302042,206.2934018,478.995255884308,142,Maldives
151,13.27861954,88.51537104,179.184058478046,50434980272,Mexico
152,1.882282079,30.11651326,112.93692472754,NA,Marshall Islands
154,19.02374278,96.39240385,497.801417077901,159564433,Macedonia
155,0.218509566,118.8336413,7.65829754966837,2164478,Mali
156,42.08525306,140.3690508,14102.5942363125,NA,Malta
157,0.209042022,89.83720797,9.911822441449,285944561,Myanmar (Burma)
159,21.84972017,166.0954592,223.33873738096,3063251,Montenegro
160,9.269366738,126.3528292,1546.01617155675,3491345,Mongolia
161,NA,NA,253.880748585522,NA,Northern Mariana Islands
162,0.207763473,40.0268713,7.48259941728751,32059254,Mozambique
163,0.285893076,92.17166073,4.07222866740389,NA,Mauritania
164,19.4445191,145.399158,379.562759516152,26573496,Mauritius
165,0.058081514,41.73804958,9.88073098507022,8133024,Malawi
166,8.499170131,133.8797956,4836.98213498344,41172608986,Malaysia
168,2.596067399,105.7779756,113.268876633223,14734532,Namibia
169,NA,NA,2856.02224916209,NA,New Caledonia
170,0.040274991,40.87508383,0.465606833767372,NA,Niger
171,0.058062833,75.91962422,222.797537325765,18192596,Nigeria
172,3.379513673,131.5604252,125.61155214544,11267652,Nicaragua
173,42.32699133,120.5216877,70412.1276055238,63617214213,Netherlands
174,40.64456798,107.9055178,14572.5727349493,3590613199,Norway
175,1.717133712,123.1748796,149.189568277739,5847553,Nepal
176,NA,88.03591865,77.663870767319,NA,Nauru
177,33.63921002,136.0018598,14980.4960470598,530109422,New Zealand
179,7.526019884,149.7738911,142.78744385024,48362448,Oman
181,0.928692806,73.35732631,121.426713892283,353237841,Pakistan
182,10.88365332,126.6723629,2155.62094936621,NA,Panama
183,7.182285608,120.9849191,213.676243339716,196990670,Peru
184,3.239947468,110.3956258,88.0591707302335,32114258015,Philippines
185,NA,NA,184.085783975333,1262266,Palau
186,0.218151092,48.69617152,31.7531033810753,NA,Papua New Guinea
187,19.99165486,132.1925931,6534.93448528243,13678247819,Poland
189,18.02010357,92.52745807,283.007433681975,NA,Puerto Rico
190,NA,14.94647221,0.039229585855224,NA,North Korea
191,34.60036714,113.8883699,12464.7825791482,2350793409,Portugal
192,4.08393585,109.645417,188.363537810787,60846210,Paraguay
193,7.342395143,81.21174852,520.835890374291,NA,Palestinian Territories
196,20.38253471,101.7073783,583.024448158526,NA,French Polynesia
197,9.721087098,151.1270603,414.138922579513,NA,Qatar
198,24.27423508,113.8251522,12257.3617035878,5099209139,Romania
199,21.60100572,157.8582202,3541.09719015114,9174217407,Russia
